نام ژنریک	کد ژنریک
CIPROFLOXACIN (AS LACTATE) INJECTION, SOLUTION INTRAVENOUS 10 mg/1mL 20 mL	2250
DALTEPARIN SODIUM INJECTION PARENTERAL 25000 [iU]/1mL 0.2 mL	2259
DALTEPARIN SODIUM INJECTION PARENTERAL 12500 [iU]/1mL 0.2 mL	2262
CABERGOLINE TABLET ORAL 0.5 mg	2287
IMATINIB (AS MESYLATE) CAPSULE ORAL 100 mg	2289
PHENOL GLYCERIN SOLUTION, DROPS AURICULAR (OTIC) 6.4 g/93.6 g 10 mL	2291
ENOXAPARIN SODIUM INJECTION PARENTERAL 100 mg/1mL 1 mL	17725
CALCITONIN INJECTION PARENTERAL 100 [iU]/1mL	2312
PANTOPRAZOLE (AS SODIUM) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 40 mg	2336
DALTEPARIN SODIUM INJECTION PARENTERAL 7500 [iU]/0.3mL	2354
ACICLOVIR INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	2366
CABERGOLINE TABLET ORAL 1 mg	2374
LEVODOPA / CARBIDOPA TABLET, EXTENDED RELEASE ORAL 100 mg/25 mg	2383
METHOTREXATE SODIUM INJECTION, SOLUTION PARENTERAL 100 mg/1mL 10 mL	826
OCTREOTIDE (AS ACETATE) INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 20 mg	2391
SODIUM ACID PHOSPHATE (PHOSPHATE SODIUM) TABLET, EFFERVESCENT ORAL 500 mg	2397
SUCCINYLCHOLINE CHLORIDE INJECTION PARENTERAL 20 mg/1mL	2401
CEFEPIME (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g	2416
CEFEPIME (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g	2417
CEFEPIME (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg	2418
